id_cliente,tipo_cliente,edad_cliente,customer_country,customer_region,tenure,importe_medio_mensual,desviacion_estandar_mensual,media_transacciones_al_dia,numero_fraudes_ultimo_ano,id_cuenta,cuenta_origen,estado_cuenta,saldo_actual,saldo_medio_30_dias,volumen_entrante_30_dias,volumen_saliente_30_dias,numero_transferencias_recibidas_7_dias,numero_transferencias_enviadas_7_dias,id_tarjeta,estado_tarjeta,fecha_creacion_tarjeta,antiguedad_tarjeta_dias,limite_importe_transacciones,veces_superar_limite_7_dias,id_transaccion,tipo_transaccion,fecha_hora,is_night,is_weekend,tiempo_desde_ultima_transaccion,numero_transacciones_ultima_hora,importe_transaccion,metodo_autenticacion,numero_pin_disponibles,identificador_dispositivo_fingerprint,dispositivo_reconocido,operacion_pais,operacion_region,direccion_ip_origen,geolocalizacion,cuenta_destino,destino_alto_riesgo
4bff8574-306,empresa,79,IT,Lombardía,1214,401.23,324.77,0.76,0,02041040-103,ES674627731670,activa,23.42,17.0,16549.13,10565.62,1,1,6978df83-507,extraviada,2026-01-12,134,2000.0,0,40398993-392,tarjeta,2026-02-14 09:30:19,0,1,23989,2,29.98,firma,2,259d9b86-04f2-4f,1,IT,Lombardía,86.219.100.41,"40.4168,-3.7038",ES969120811421,0
fb18da6c-526,persona,80,ES,Norte,1224,1262.07,577.16,1.03,0,3e3af65e-183,ES558714432415,suspendida,461.57,524.08,411.43,46499.1,2,0,ed3d09fa-e9c,activa,2023-04-09,1143,3000.0,1,5a5e9592-60e,tarjeta,2026-02-20 03:52:02,1,0,75910,1,149.59,3DS,3,5871ca35-f353-41,1,ES,Sur,86.144.84.78,"40.4168,-3.7038",ES948449515898,0
61ec131c-ee6,persona,62,ES,Centro,1469,426.83,1052.77,4.74,0,5f58805e-1da,ES631770536374,activa,1093.95,1133.95,1573.33,2051.97,1,3,4b7e7408-d80,activa,2023-10-06,963,500.0,0,d077bcf6-468,tarjeta,2026-05-01 02:37:14,1,0,42348,4,637.37,huella,2,6860e4f5-0dda-4d,1,ES,Centro,86.215.68.34,"40.4168,-3.7038",ES917941800260,0
51510b2a-a1d,persona,60,DE,Hesse,1906,29.67,439.46,2.03,0,2e0bf517-acc,ES258687947276,bloqueada,23114.46,23325.76,3341.16,5061.61,3,0,54de2ee7-384,activa,2021-06-14,1807,2000.0,0,9a5bbc08-0c9,tarjeta,2026-04-21 06:42:00,0,0,55675,1,194.86,contactless,2,e4c603c1-d6ab-4b,0,DE,Hesse,86.13.217.28,"40.4168,-3.7038",ES553593824035,0
f678132b-a3f,persona,43,ES,Este,1335,159.13,71.43,3.99,0,7bf8929e-5a6,ES278673794924,activa,2225.51,2542.52,7915.65,4402.3,2,1,3887f5a9-69d,activa,2022-10-03,1331,1000.0,0,2630260f-931,tarjeta,2026-04-09 11:58:00,0,0,72304,1,21.4,huella,2,c914cf74-c4e6-43,1,ES,Este,86.58.108.198,"40.4168,-3.7038",ES277371520695,0
be8b0b67-29e,persona,39,DE,Baviera,1733,314.98,951.29,0.78,0,df6350bc-fd6,ES339434359049,activa,35.98,46.71,3869.77,11635.41,1,5,9af6d4e9-0a9,activa,2024-12-28,514,3000.0,0,eb9c9a8d-ef0,tarjeta,2026-01-30 00:05:01,1,0,42563,1,9659.2,PIN,2,57104337-f8fe-40,1,DE,Baviera,86.150.137.172,"40.4168,-3.7038",ES359915122429,0
163058a2-6c1,empresa,82,ES,Centro,2376,58.37,714.03,3.22,0,b8c2be5f-a15,ES582604123559,activa,26.91,30.64,902.04,3394.41,4,1,5c9f67f6-ab5,bloqueada,2023-10-05,964,2000.0,0,4afb5449-718,transferencia,2025-12-25 02:59:18,1,0,39741,2,117.51,firma,1,f4a01afb-b286-42,0,ES,Centro,86.246.193.206,"40.4168,-3.7038",ES131600206598,0
dd335558-329,persona,56,ES,Este,197,491.88,203.91,0.95,0,ddf6c7dd-b59,ES246742678842,activa,2574.49,3182.93,1434.98,5462.88,3,3,cbb4025d-e44,bloqueada,2023-03-24,1159,500.0,1,309f09cd-896,transferencia,2026-04-22 04:32:30,1,0,16508,4,125.47,PIN,2,ef8f2fa3-bfd9-43,1,ES,Este,86.106.139.218,"40.4168,-3.7038",ES654228471914,0
434d96a5-9b8,persona,77,FR,Normandía,3531,596.88,53.91,8.03,0,d2577e09-199,ES407024610960,activa,6683.89,8425.85,8173.38,2603.62,3,4,32845c20-c27,activa,2024-04-04,782,1000.0,1,706ef7dc-772,tarjeta,2025-12-14 18:44:08,0,1,36398,1,478.96,huella,1,457e077d-b9bf-4f,1,BR,Río,86.179.197.245,"40.4168,-3.7038",ES508970976634,0
569b376e-0e8,persona,80,US,Florida,661,180.01,361.98,11.63,0,4853bb56-91c,ES585243470195,activa,410.48,532.85,141497.84,3257.87,2,2,eb949c2b-5c5,activa,2022-03-09,1539,1000.0,0,d4521f98-61d,tarjeta,2026-02-06 16:59:27,0,0,11515,1,229.24,huella,2,87cb9c6c-18c8-4c,1,US,Florida,86.109.161.124,"40.4168,-3.7038",ES271768649056,0
8820fbed-b6b,premium,49,PT,Oporto,3462,297.14,537.82,0.58,0,e07f6ecf-08d,ES689519822176,bloqueada,381.19,394.16,999.77,10861.15,6,1,1ec26f7f-0a4,activa,2022-03-21,1527,2000.0,1,54adb384-911,tarjeta,2026-02-02 15:21:59,0,0,15388,2,378.08,3DS,2,8352da5e-21b5-41,1,PT,Oporto,86.225.52.172,"40.4168,-3.7038",ES282308517711,0
16158b2b-155,premium,41,ES,Norte,2761,567.57,318.45,1.1,0,1dfd69c4-931,ES903573359975,activa,1161.92,993.13,3851.81,2262.05,3,0,1f0206de-2e9,caducada,2024-04-27,759,500.0,0,88c9bbc3-d07,tarjeta,2026-03-22 03:58:07,1,1,16755,1,217.9,3DS,2,e997dbe1-a4d9-42,1,ES,Norte,86.172.144.154,"40.4168,-3.7038",ES478184679634,0
bfdd38f8-be6,autónomo,63,ES,Sur,3067,1311.9,1592.57,1.11,0,e54a82d5-ecd,ES389340485049,activa,1367.6,1708.55,2134.93,9154.97,3,1,a426f581-d5e,activa,2023-08-24,1006,500.0,1,0167af44-490,tarjeta,2026-04-30 15:53:30,0,0,74696,2,1410.16,PIN,0,73930d41-3415-4a,0,ES,Sur,86.101.97.12,"40.4168,-3.7038",ES821153861782,1
83f04b96-400,persona,66,ES,Centro,1040,368.96,102.37,2.84,0,ce6b6cc5-03d,ES971338689530,activa,2782.23,3156.33,3164.06,3032.14,3,1,95745904-cca,activa,2021-10-06,1693,5000.0,0,b8dbdd1e-762,transferencia,2026-04-15 15:11:52,0,0,6767,1,1135.64,3DS,2,b274ff83-8a51-45,1,DE,Hamburgo,86.107.187.45,"40.4168,-3.7038",ES951390543016,0
f5ce51fe-663,empresa,57,ES,Sur,182,15.56,259.16,3.05,0,e19cae03-803,ES951920856491,activa,1426.72,1364.07,23929.96,2149.19,2,1,45c0ef14-441,robada,2025-04-21,400,500.0,0,b1acfa72-e43,tarjeta,2026-03-09 01:24:19,1,0,50102,2,661.02,PIN,2,48e84864-2531-47,1,ES,Sur,86.241.67.146,"40.4168,-3.7038",ES383032943666,0
5fe24a5e-d27,persona,82,ES,Centro,1998,39.63,569.17,1.24,0,f957bc6b-e48,ES465805180665,bloqueada,179.27,190.11,2576.92,3234.01,4,0,aed57023-635,activa,2022-06-16,1440,500.0,2,e2ffdf4b-045,tarjeta,2026-05-23 00:36:33,1,1,42904,3,64.82,PIN,2,96c88c49-28df-40,1,ES,Centro,86.141.100.98,"40.4168,-3.7038",ES638214172658,0
30fcd6b2-c4f,persona,46,FR,Île-de-France,1218,862.23,1557.84,6.44,0,10cc0eea-5d7,ES141954829188,activa,2478.1,2769.1,15144.83,3191.95,4,5,cf056bbd-90c,caducada,2024-08-13,651,2000.0,0,639b5e00-ba2,transferencia,2025-12-10 05:38:12,1,0,26322,3,57.6,huella,3,910ab0fb-68ab-4f,1,FR,Île-de-France,86.22.169.138,"40.4168,-3.7038",ES894239313968,0
2591c315-e26,persona,56,PT,Algarve,2129,666.41,354.1,0.52,0,53106246-eca,ES222136306469,activa,1999.43,2381.74,1658.37,1090.46,0,3,e63d87d2-12f,activa,2026-02-03,112,2000.0,0,e555c797-4c9,transferencia,2026-01-20 20:42:40,0,0,23851,3,1553.53,3DS,2,ab8b963a-daba-40,1,PT,Algarve,86.28.3.209,"40.4168,-3.7038",ES772040907374,1
42b91227-cbe,autónomo,32,ES,Centro,2204,372.82,177.18,6.0,0,f7b69a5e-8fc,ES846658477890,cerrada,370.5,266.31,8925.95,5688.83,5,2,fcde5779-017,caducada,2024-06-21,704,2000.0,0,d2f3674d-396,tarjeta,2026-03-17 01:03:26,1,0,83000,3,213.78,PIN,3,1debaddd-4bf2-43,1,ES,Norte,86.45.14.153,"40.4168,-3.7038",ES894610260769,0
e832f139-a86,empresa,26,ES,Norte,3003,470.47,156.67,5.29,0,a9bf127c-8fe,ES204788516730,activa,394.82,369.35,121591.12,1416.86,4,1,8f2638e2-16e,activa,2023-01-12,1230,5000.0,0,b49d28f4-662,tarjeta,2026-04-10 17:56:38,0,0,27454,1,73.21,PIN,3,e70580c9-401f-49,1,ES,Norte,86.121.241.143,"40.4168,-3.7038",ES893720990549,1
a9107883-5d5,persona,66,ES,Este,316,1465.79,612.9,0.6,0,68cdd444-490,ES174911438993,activa,16613.49,19751.7,5099.45,21506.08,4,0,54a1ce29-c83,activa,2021-12-27,1611,500.0,1,5bbda040-715,tarjeta,2025-12-03 19:57:30,0,0,20079,0,199.62,3DS,2,e2a9bd6a-63dc-41,1,ES,Oeste,86.58.130.156,"40.4168,-3.7038",ES649941442754,0
267e339b-439,empresa,71,ES,Norte,902,1494.06,649.45,4.57,0,bb6aa594-0cf,ES294453767569,activa,928.81,1133.35,286.37,60030.36,5,2,5f81cd0f-9ed,activa,2023-05-03,1119,2000.0,0,dde7332b-e75,tarjeta,2026-04-24 01:09:39,1,0,26946,2,117.32,firma,2,0d3e9238-9982-47,1,ES,Norte,86.69.144.123,"40.4168,-3.7038",ES354591789596,0
5ecc6bbe-13c,persona,52,ES,Centro,260,1443.58,196.66,4.95,0,fd6345e7-1d0,ES761629126989,activa,106.29,95.9,1981.1,2020.55,3,1,a19cf69a-aae,activa,2023-11-10,928,2000.0,0,27d634ad-d66,tarjeta,2025-12-10 10:15:32,0,0,81567,0,944.38,PIN,1,fb2db995-8319-4e,1,ES,Centro,86.34.197.229,"40.4168,-3.7038",ES533203239088,0
e7229f47-f78,persona,68,US,Nueva York,1035,476.85,1012.17,2.32,0,87a6e5ba-e5d,ES524249859547,activa,2162.03,1552.3,15713.48,626.5,3,3,0dd280b6-55c,activa,2023-05-18,1104,3000.0,1,b08fa50c-a2c,transferencia,2026-05-12 04:30:28,1,0,54091,6,248.05,PIN,3,5345fe63-6045-48,0,US,Nueva York,86.12.72.245,"40.4168,-3.7038",ES918705471956,0
7d95068c-056,empresa,21,FR,Provence,18,106.28,824.73,4.81,0,2fc72916-209,ES844712236763,activa,701.8,629.53,23471.92,22185.03,4,1,3e87f255-7b9,activa,2022-04-03,1514,500.0,0,83fb08ad-1cd,transferencia,2026-02-06 17:55:04,0,0,4790,2,1602.89,firma,2,dba63fc6-4669-45,1,FR,Île-de-France,86.69.45.242,"40.4168,-3.7038",ES753989722835,0
baf74d31-659,persona,38,IT,Campania,2666,297.91,1308.88,0.69,0,9a851c1a-09b,ES301140588243,activa,1974.61,2113.64,64457.95,4524.03,3,4,eaf97cab-11b,activa,2023-10-05,964,3000.0,1,0b23c57b-ae1,transferencia,2026-02-20 23:26:47,1,0,21705,0,301.25,3DS,2,ad28d3bb-bf21-4f,0,PT,Oporto,86.136.25.9,"40.4168,-3.7038",ES723359910570,0
5f813bd0-9ad,persona,59,DE,Hesse,2199,476.78,218.03,1.31,0,f079b49f-c8f,ES284683822748,activa,373.3,282.71,11411.61,851.48,4,0,b8989d9b-4aa,activa,2024-07-01,694,2000.0,0,aa100ed6-85e,tarjeta,2025-12-26 12:25:27,0,0,32147,2,3706.06,PIN,2,65955f2d-51c0-45,1,IT,Campania,86.101.41.32,"40.4168,-3.7038",ES419841210066,0
1906d259-1ac,persona,53,ES,Este,72,107.67,219.25,0.72,0,c3436650-a5b,ES584713605114,activa,377.3,409.03,7684.32,288.61,3,0,3703f56d-c86,activa,2024-07-18,677,1000.0,1,fbe48304-8fb,tarjeta,2026-02-01 22:04:58,0,1,68649,4,28.83,contactless,3,37c526f1-119a-4d,1,ES,Este,86.120.29.149,"40.4168,-3.7038",ES171661437464,0
bf514bb4-fe9,persona,49,ES,Norte,1012,275.97,874.54,5.07,0,999ef966-c41,ES753408134011,suspendida,220.11,227.22,784.76,835.35,7,1,eae3d523-110,bloqueada,2023-03-06,1177,1000.0,2,c5a7334e-f35,tarjeta,2026-04-04 01:38:38,1,1,72939,3,13.44,huella,3,878b456a-c3eb-44,1,ES,Norte,86.109.79.54,"40.4168,-3.7038",ES898693926424,0
1524e49f-349,persona,58,PT,Oporto,1048,154.56,325.27,2.62,0,5c0481fa-66c,ES888340817941,activa,1858.12,1963.24,8854.23,1497.52,0,0,49cefdda-812,activa,2023-09-01,998,1000.0,0,81b6f0c9-0ae,tarjeta,2026-04-10 05:07:15,1,0,37876,1,85.56,PIN,2,57041d68-b8ab-4b,1,PT,Oporto,86.3.3.103,"40.4168,-3.7038",ES147488573720,0
545b9ab9-3d1,persona,69,ES,Centro,819,172.76,533.16,6.15,0,8b2d1af4-6d0,ES726693176716,activa,4087.21,4042.17,8187.37,1620.83,2,3,1c6a329a-cc7,activa,2022-01-01,1606,2000.0,0,aba4025e-177,tarjeta,2026-03-23 05:09:27,1,0,4828,1,25.96,PIN,1,09910038-c25d-40,0,ES,Centro,86.111.251.82,"40.4168,-3.7038",ES943385526841,0
107e5f12-3fb,persona,69,FR,Île-de-France,3493,730.34,71.44,0.82,0,cebc6e57-472,ES189616727211,activa,920.59,785.08,2610.99,11873.03,5,1,84edb3f6-2aa,activa,2022-11-07,1296,2000.0,0,92457e4b-d53,transferencia,2026-03-08 15:40:25,0,1,44887,5,959.15,3DS,1,6fe4d1bb-5bba-45,1,FR,Île-de-France,86.110.223.112,"40.4168,-3.7038",ES864271445660,1
8a3f2d58-02b,persona,42,BR,São Paulo,3009,28.68,550.33,0.53,0,ccac1cb6-4cd,ES509569528519,activa,301.25,263.8,795.77,3247.11,4,2,303df0a7-f82,activa,2023-06-24,1067,1000.0,0,4a985d01-137,transferencia,2025-12-26 15:54:43,0,0,37673,3,222.05,3DS,2,8c9d7f9c-e35c-41,1,BR,Río,86.235.223.203,"40.4168,-3.7038",ES983461168530,0
12191006-9f7,autónomo,39,ES,Oeste,3537,594.07,48.18,10.57,0,9623c284-615,ES885082518353,activa,394.06,404.05,4277.52,147638.89,5,1,420da7a5-a58,activa,2025-04-30,391,1000.0,0,e0adf2bc-efc,tarjeta,2026-02-06 14:47:30,0,0,36765,3,1734.39,3DS,3,0f02b49a-80b9-43,1,ES,Oeste,86.205.13.121,"40.4168,-3.7038",ES747019634373,0
453c8d46-75f,persona,33,BR,Minas Gerais,1014,9415.42,317.74,2.59,0,d329f5eb-690,ES132929201335,activa,712.38,675.03,726.05,302.33,2,2,3436a88f-8e3,activa,2023-09-10,989,2000.0,0,51a33ecd-119,tarjeta,2026-05-23 15:02:12,0,1,55536,0,986.22,PIN,2,2f7de00d-d1c9-41,1,BR,São Paulo,86.158.99.192,"40.4168,-3.7038",ES331161159328,0
a7e1911c-b0f,persona,72,FR,Île-de-France,1206,187.54,32.29,5.35,0,ac011e4b-11d,ES562019623754,activa,153.38,166.04,406.84,2911.05,6,2,310f0d1b-2e9,activa,2026-02-18,97,2000.0,0,628d088e-bef,tarjeta,2026-01-06 13:52:56,0,0,42993,3,202.05,firma,2,dfcefc81-1bc4-46,1,FR,Provence,86.69.40.182,"40.4168,-3.7038",ES607900244944,0
a536d5c2-0d0,persona,74,ES,Oeste,1687,256.17,319.39,0.54,0,668813a9-a5e,ES193014889686,activa,4144.33,3289.89,1054.7,14466.43,3,2,19f04006-f09,activa,2024-02-26,820,3000.0,0,b2cd0211-57c,tarjeta,2026-05-07 14:22:33,0,0,34551,1,3133.66,PIN,3,a20a7d1a-d747-44,0,DE,Baviera,86.188.168.161,"40.4168,-3.7038",ES353539495923,0
56680817-7ba,persona,50,ES,Norte,1687,282.97,615.22,2.85,0,0c673547-d69,ES792517464883,activa,1378.12,1746.66,5737.85,11566.89,4,3,883e034b-e23,activa,2021-11-14,1654,1000.0,0,3c4e6143-dde,tarjeta,2026-01-08 09:50:33,0,0,56730,3,135.43,huella,2,c5f71b1e-bdf4-44,1,ES,Norte,86.5.166.180,"40.4168,-3.7038",ES296774751994,0
202dcb85-916,persona,60,FR,Normandía,2756,166.83,1668.78,1.18,0,6747bd23-018,ES509676823964,activa,70.38,57.54,4027.81,3206.72,2,3,21d26a1c-26d,activa,2021-09-01,1728,2000.0,0,6b49647a-3a4,tarjeta,2026-04-30 06:11:12,0,0,63400,4,623.46,3DS,1,2c360ec1-f194-47,0,IT,Toscana,86.222.58.247,"40.4168,-3.7038",ES171612168713,0
49afbe2f-ff8,empresa,20,ES,Norte,2243,808.81,41.37,4.44,0,f83599c8-54a,ES701264164592,activa,1787.72,2311.23,4514.56,8939.28,4,1,dde0c284-9ca,activa,2024-01-30,847,2000.0,0,834b9861-d23,tarjeta,2026-02-10 19:57:53,0,0,72546,3,71.26,PIN,0,f31936f8-4310-4c,1,ES,Norte,86.197.200.148,"40.4168,-3.7038",ES437450643384,0
e1491978-9d1,autónomo,80,ES,Este,2563,576.38,1006.4,1.23,0,bcf64dfd-f02,ES661948917923,suspendida,449.64,377.54,2233.92,4551.95,1,1,90cf4719-dfc,activa,2023-09-03,996,1000.0,0,dfd75b5e-f84,tarjeta,2025-12-07 18:51:45,0,1,61739,3,454.79,huella,2,b827ca13-68f7-41,1,ES,Este,86.211.172.71,"40.4168,-3.7038",ES716661714287,0
d0522d1e-b02,empresa,36,DE,Hamburgo,3059,606.33,389.02,0.8,0,808ef1ff-a02,ES391264781661,activa,416.27,440.84,613.68,600.82,1,5,bee5b4d3-9f7,activa,2023-03-11,1172,1000.0,1,cba956a4-97e,tarjeta,2026-05-21 05:55:26,1,0,72722,0,220.91,3DS,3,97f4416c-7781-4f,1,DE,Hesse,86.44.86.175,"40.4168,-3.7038",ES441778249230,1
fe43912a-c85,premium,63,ES,Norte,658,871.59,1115.24,2.26,0,e99c8ea4-aa4,ES294740284680,activa,12313.08,10349.28,21426.24,777.44,4,0,3648faa4-66f,activa,2026-03-22,65,2000.0,1,72240ee0-8f4,tarjeta,2026-05-14 02:34:13,1,0,54275,1,36.73,3DS,3,225d70f9-645e-4b,1,ES,Norte,86.38.84.245,"40.4168,-3.7038",ES743800933344,0
4039b8d7-dc7,persona,71,FR,Provence,2280,158.38,479.95,0.86,0,d25fbeb3-336,ES601182411248,activa,819.34,918.77,1030.08,307.79,5,3,ce2df078-cb1,activa,2024-01-27,850,500.0,0,207253bf-383,tarjeta,2026-01-05 05:18:46,1,0,25025,1,1454.04,PIN,1,144d5d53-af5d-48,1,FR,Provence,86.166.1.191,"40.4168,-3.7038",ES964760680693,0
9743f1be-62b,empresa,68,DE,Hamburgo,1996,223.83,5.09,3.53,0,812b6ead-2a2,ES371770415579,activa,1495.31,1856.39,9305.94,3253.63,1,1,8e0a55f0-edd,activa,2025-08-23,276,2000.0,0,e96ee0e3-ced,transferencia,2026-02-09 18:10:46,0,0,79315,2,48.56,firma,3,9db318fd-af78-49,1,DE,Hamburgo,86.107.97.32,"40.4168,-3.7038",ES945669531834,0
132ae18c-3a7,autónomo,58,PT,Algarve,2070,1045.43,231.95,3.26,0,6bf3f8b0-524,ES424361758337,activa,79.61,62.54,1877.97,9599.74,1,3,994fe26d-6ab,activa,2025-04-19,402,1000.0,0,5675095c-dcb,tarjeta,2025-12-22 16:13:52,0,0,83850,3,10.48,PIN,1,fd5577ba-91eb-4d,1,PT,Algarve,86.169.228.122,"40.4168,-3.7038",ES781929469965,0
52be6f34-ef1,premium,52,ES,Oeste,785,70.73,876.39,12.91,0,afd987d2-d3e,ES314236335222,activa,108.91,126.02,320.73,2145.8,2,0,aca54dca-8b7,activa,2023-08-25,1005,1000.0,1,233038c8-119,tarjeta,2025-12-22 01:07:33,1,0,55598,2,935.97,3DS,2,49948c11-e4a4-4d,1,ES,Oeste,86.7.27.5,"40.4168,-3.7038",ES102627762622,0
084f6393-cc2,persona,36,FR,Normandía,2111,2973.0,218.06,2.34,0,24d31c5e-eb0,ES307538147514,activa,11417.01,9880.97,2472.72,513.43,5,2,4725e1dc-37c,activa,2023-06-30,1061,1000.0,0,5fed8aad-6f2,tarjeta,2026-04-18 14:18:06,0,1,41892,2,110.79,3DS,3,924b7f4d-fc15-4e,1,FR,Normandía,86.37.66.187,"40.4168,-3.7038",ES607068480291,0
d5367e60-46b,premium,78,ES,Sur,2527,1572.66,1324.35,0.59,0,848f528e-e89,ES731276299985,activa,1234.6,1070.71,15052.74,12452.64,1,3,3f8540e4-506,activa,2026-03-04,83,2000.0,0,e8d987bc-6ed,tarjeta,2026-03-09 14:13:03,0,0,8635,0,320.42,PIN,2,eaaf4f05-0ed2-4d,1,ES,Sur,86.204.172.224,"40.4168,-3.7038",ES104747417532,0
5a4f7bd5-16a,premium,33,ES,Sur,2983,342.5,78.44,4.21,0,b47b0ee8-45e,ES653555640948,activa,96.86,84.8,1474.52,1046.7,0,3,57080341-faf,activa,2023-08-19,1011,1000.0,0,324631db-b61,tarjeta,2026-04-18 23:44:17,1,1,25265,2,303.24,3DS,2,24f88370-3f66-44,1,ES,Sur,86.214.7.210,"40.4168,-3.7038",ES341182819041,0
43c8a198-969,persona,51,ES,Sur,353,739.94,639.57,1.45,0,5487add4-267,ES352809416795,activa,297.26,219.26,2163.39,10276.83,1,1,f4e44f6c-0bf,bloqueada,2026-05-15,11,1000.0,1,2ec8a7e9-37f,tarjeta,2026-02-16 03:02:51,1,0,39159,4,40.42,PIN,3,9df9310d-c2b8-49,1,ES,Sur,86.23.107.11,"40.4168,-3.7038",ES223224938965,0
